house_quality,year_remodelled,basement_total_area,first_floor_area,above_ground_area,bathroom_above_ground_full_num,garage_finish_quality,garage_size_num_cars,sale_price,age_built,age_remodelled,more_than_2_above_bathrooms,is_good_kitchen_quality,is_good_exterior_build_quality,is_good_house_quality,foundation_type_PConc,comp_score
8,1950,792.0,792,1517,1,1,2.0,230000,77,56,0,1,0,1,1,12.0
8,1996,1494.0,1494,1494,1,3,2.0,270000,11,10,0,1,1,1,1,12.0
6,1952,948.0,948,948,1,1,2.0,125000,55,55,0,0,0,1,0,12.0
8,2008,1705.0,1718,1718,2,2,3.0,297000,2,1,1,1,1,1,1,14.0
6,1958,160.0,1142,1142,1,2,1.0,113500,51,51,0,0,0,1,0,11.0
5,1977,757.0,925,1475,2,2,1.0,127000,29,29,1,0,0,0,1,14.0
6,1977,1844.0,1844,1844,2,2,2.0,190000,33,33,1,0,0,1,0,13.0
7,1973,1242.0,1242,1242,1,1,2.0,175500,34,34,0,0,0,1,0,12.0
5,1994,990.0,990,990,1,1,1.0,146000,13,13,0,0,0,0,1,11.0
5,1965,1256.0,1256,1256,1,3,1.0,147500,43,43,0,0,1,0,0,13.0
5,1978,1097.0,1110,1110,1,3,2.0,165500,31,31,0,1,0,0,1,13.0
5,1954,1050.0,1050,1795,2,1,1.0,131500,54,54,1,0,0,0,0,13.0
5,1965,1040.0,1040,1040,1,1,1.0,129500,43,43,0,0,0,0,0,11.0
8,1950,608.0,983,1873,1,3,2.0,257076,73,58,0,0,0,1,1,11.0
5,1960,984.0,984,1604,2,1,2.0,117000,68,49,1,0,0,0,0,12.0
7,2000,776.0,851,1502,1,2,1.0,149000,77,8,0,0,0,1,0,12.0
5,1954,1056.0,1063,1063,1,2,1.0,128000,56,56,0,0,0,0,0,10.0
7,2004,764.0,764,1626,2,2,2.0,155000,5,4,1,1,1,1,1,15.0
6,2000,756.0,768,1524,2,1,2.0,166000,6,6,1,1,1,1,1,16.0
4,1950,1122.0,1328,1981,2,1,2.0,135000,81,59,1,1,0,0,0,12.0
7,1978,1392.0,1392,2784,3,2,2.0,250000,28,28,1,1,0,1,0,13.0
4,1970,546.0,546,1092,1,0,0.0,76000,40,40,0,0,0,0,0,13.0
6,1951,216.0,1575,1575,1,1,2.0,155000,55,55,0,1,0,1,0,13.0
6,1969,663.0,663,1352,1,3,1.0,158000,41,41,0,0,0,1,0,13.0
7,2005,600.0,600,1200,2,2,2.0,149500,6,5,1,1,1,1,1,15.0
5,1975,936.0,936,936,1,1,1.0,121000,52,31,0,0,0,0,0,10.0
6,1953,1040.0,1040,1040,1,3,1.0,136000,54,54,0,0,0,1,0,12.0
6,1996,916.0,916,1636,2,3,2.0,173000,12,12,1,0,0,1,1,13.0
8,2007,1152.0,1164,2270,2,3,3.0,290000,11,3,1,1,1,1,1,15.0
8,2007,1184.0,1184,2610,2,3,2.0,303477,0,0,1,1,1,1,1,16.0
7,2001,1420.0,1483,1483,1,2,2.0,270000,33,9,0,0,1,1,0,12.0
5,1950,936.0,960,1740,1,1,1.0,122250,88,58,0,1,0,0,0,12.0
5,1955,1382.0,1382,1382,1,1,1.0,153000,54,54,0,1,0,0,0,12.0
5,2007,1120.0,1120,1120,1,0,0.0,147000,0,0,0,0,0,0,1,11.0
7,1995,531.0,567,1098,1,1,1.0,148500,77,12,0,0,0,1,0,12.0
7,2004,976.0,976,1708,2,1,2.0,130000,2,2,1,1,1,1,1,16.0
7,2005,1362.0,1506,1506,2,3,2.0,213490,1,1,1,1,1,1,1,15.0
7,2010,1508.0,1508,1508,1,2,2.0,308030,1,0,0,1,1,1,1,12.0
7,1997,1840.0,2032,2032,3,3,3.0,300000,12,11,1,1,1,1,1,13.0
6,1959,655.0,1194,1194,1,3,2.0,159500,47,47,0,0,0,1,0,13.0
7,2004,970.0,970,1709,2,1,2.0,137500,2,2,1,1,1,1,1,16.0
7,2005,1616.0,1616,1616,2,2,3.0,232000,1,1,1,1,1,1,1,15.0
6,1950,768.0,768,768,1,1,2.0,93850,78,58,0,0,1,1,0,11.0
5,1950,872.0,872,872,1,1,1.0,105000,82,56,0,0,0,0,0,9.0
4,1950,520.0,520,520,1,1,1.0,68500,81,58,0,0,0,0,0,9.0
5,1960,1105.0,1105,2274,2,1,2.0,154300,50,50,1,0,0,0,0,12.0
5,2003,936.0,936,1601,2,0,0.0,129850,82,4,1,0,1,0,0,14.0
5,1950,616.0,616,1232,1,1,2.0,114000,97,57,0,0,0,0,0,12.0
5,1950,876.0,876,1416,1,1,3.0,153900,93,58,0,0,0,0,0,11.0
4,2006,864.0,864,864,1,1,2.0,130000,38,3,0,0,0,0,0,11.0
6,1997,1189.0,1189,1189,2,2,2.0,160500,11,11,1,0,0,1,1,13.0
9,2006,1666.0,1666,1666,2,2,2.0,310090,0,0,1,1,1,1,1,15.0
7,2003,1176.0,1200,1200,2,2,2.0,184900,6,6,1,1,1,1,1,15.0
5,2000,928.0,928,928,1,1,1.0,132000,51,7,0,0,0,0,0,10.0
5,1969,1288.0,1336,1336,2,2,2.0,163000,40,40,1,0,0,0,0,11.0
7,2004,600.0,600,1200,2,2,2.0,155000,6,6,1,1,1,1,1,16.0
6,1969,1427.0,1427,1427,2,2,2.0,183000,39,39,1,0,0,1,0,14.0
7,2002,860.0,1212,1992,2,2,2.0,211000,11,5,1,1,1,1,1,14.0
7,1994,754.0,754,1540,2,2,2.0,184000,15,15,1,1,1,1,1,16.0
5,1979,0.0,1535,1535,2,1,2.0,118858,30,30,1,0,0,0,0,11.0
5,1964,1152.0,1152,1152,1,2,2.0,180500,46,46,0,0,0,0,1,11.0
8,2007,1141.0,1151,1151,2,3,2.0,166000,1,0,1,1,1,1,1,13.0
6,1960,1138.0,1138,1138,1,2,2.0,148000,49,49,0,0,0,1,0,13.0
5,1956,894.0,1074,1074,1,1,2.0,124000,51,51,0,1,0,0,0,11.0
9,2005,1561.0,1561,1561,2,3,2.0,277500,2,2,1,1,1,1,1,15.0
4,2002,528.0,605,605,1,0,0.0,86000,87,5,0,0,0,0,0,10.0
8,2007,1426.0,1671,1671,3,2,2.0,290000,32,1,1,1,1,1,0,15.0
6,2002,804.0,804,1961,2,3,2.0,215000,8,7,1,1,0,1,1,13.0
5,1972,1153.0,1193,1193,2,3,2.0,146500,34,34,1,0,0,0,0,12.0
7,2000,673.0,673,1382,2,1,2.0,165000,6,6,1,1,1,1,1,16.0
6,1950,714.0,1664,2526,2,1,1.0,136000,91,57,1,1,0,1,0,14.0
6,1957,1705.0,1390,1390,1,1,2.0,252000,49,49,0,1,0,1,0,13.0
7,2003,764.0,764,1626,2,2,2.0,175500,7,7,1,1,1,1,1,16.0
5,1950,690.0,868,1558,1,1,2.0,150000,70,59,0,0,0,0,0,11.0
5,1978,978.0,1422,1422,1,2,1.0,139900,47,29,0,0,0,0,0,8.0
5,1992,1078.0,1128,1573,2,1,2.0,162900,78,16,1,0,0,0,1,12.0
6,1962,1116.0,1116,1116,1,1,2.0,160000,48,48,0,0,0,1,0,11.0
2,1950,0.0,660,660,1,0,0.0,63900,62,59,0,0,0,0,0,9.0
6,1998,1140.0,1707,1707,2,3,2.0,184000,31,11,1,0,0,1,1,12.0
5,1959,1466.0,1466,1466,1,3,2.0,149900,47,47,0,0,0,0,0,10.0
9,2000,1614.0,1638,1638,2,3,2.0,300000,8,8,1,1,1,1,1,14.0
5,1960,988.0,1721,1721,2,1,2.0,145000,48,48,1,0,0,0,0,12.0
6,1997,928.0,928,1764,2,2,2.0,231500,12,12,1,1,0,1,1,14.0
5,1969,996.0,996,996,1,0,0.0,108000,68,39,0,0,0,0,0,11.0
5,1956,1202.0,1202,1202,1,2,1.0,120000,53,53,0,0,0,0,0,10.0
5,1961,988.0,988,988,1,1,2.0,128500,46,46,0,0,0,0,0,9.0
5,1950,1008.0,1028,1028,1,1,2.0,115000,83,60,0,0,0,0,0,11.0
5,1950,720.0,720,1284,1,1,1.0,110000,62,59,0,0,0,0,0,11.0
9,1977,994.0,1599,2944,2,2,3.0,150000,31,31,1,1,1,1,0,14.0
8,2004,707.0,707,1414,2,3,2.0,178000,2,2,1,1,1,1,1,15.0
7,1990,637.0,959,1609,1,1,3.0,199500,74,16,0,1,0,1,0,13.0
6,1998,813.0,813,1525,2,3,2.0,183500,9,8,1,0,0,1,1,12.0
5,1967,624.0,1092,1656,1,1,1.0,126000,41,41,0,0,0,0,0,12.0
7,1977,1055.0,1055,1055,2,1,2.0,148500,31,31,1,0,0,1,0,13.0
5,2006,676.0,676,1352,2,1,2.0,149000,70,3,1,1,0,0,0,14.0
6,1977,855.0,855,1456,2,1,2.0,137900,32,32,1,0,0,1,0,13.0
8,1993,1719.0,1719,1719,1,3,2.0,324000,15,15,0,1,1,1,1,13.0
5,1950,864.0,864,864,1,0,0.0,98000,83,58,0,0,0,0,0,10.0
6,1973,483.0,483,987,1,1,1.0,103400,35,35,0,0,0,1,0,12.0
5,1996,780.0,780,1020,1,0,0.0,94000,135,14,0,0,0,0,0,12.0
8,2006,1554.0,1554,1554,2,2,2.0,209500,1,1,1,1,1,1,1,15.0
6,2009,780.0,780,1560,1,0,0.0,159900,98,1,0,1,1,1,1,15.0
4,1951,864.0,864,864,1,1,2.0,141000,59,59,0,0,0,0,0,11.0
6,2000,982.0,1008,1889,2,3,2.0,215000,6,6,1,0,0,1,1,13.0
5,2010,1040.0,1040,1040,1,1,1.0,127000,48,0,0,0,0,0,0,10.0
5,1998,1172.0,1172,1172,1,3,1.0,128000,56,12,0,0,0,0,0,10.0
8,2010,1642.0,1418,1418,1,2,3.0,267916,0,0,0,1,1,1,1,13.0
6,1950,884.0,959,1367,1,1,1.0,127500,76,57,0,0,0,1,0,12.0
7,2003,0.0,495,1922,3,2,2.0,198500,6,6,1,1,1,1,0,16.0
6,1981,1422.0,1422,1422,2,3,2.0,175500,27,27,1,1,0,1,0,13.0
7,2000,985.0,985,1842,2,3,2.0,217500,7,7,1,1,1,1,1,16.0
4,1950,888.0,888,1962,1,1,2.0,149500,95,60,0,0,0,0,0,11.0
5,2004,864.0,1120,1120,1,2,2.0,148800,43,5,0,0,1,0,1,12.0
6,1957,1478.0,1478,1478,1,2,2.0,156500,52,52,0,0,0,1,0,12.0
7,1996,930.0,950,1995,2,2,2.0,237000,11,10,1,1,1,1,1,15.0
5,1985,912.0,912,912,1,3,1.0,120000,49,22,0,0,0,0,0,9.0
6,2005,1326.0,1326,1326,2,3,2.0,203000,2,2,1,1,0,1,1,13.0
8,1987,1191.0,1204,1204,2,2,2.0,130000,19,19,1,0,0,1,0,11.0
6,1964,780.0,798,1611,1,2,2.0,167900,44,44,0,0,0,1,0,13.0
4,1970,960.0,960,960,1,1,2.0,129000,36,36,0,0,0,0,0,10.0
5,1996,1070.0,1236,1236,1,1,1.0,134450,49,10,0,1,0,0,0,10.0
5,2007,816.0,1416,1416,2,1,2.0,112000,89,0,1,1,0,0,0,13.0
7,1988,929.0,946,1873,2,2,2.0,207000,19,19,1,1,1,1,1,15.0
5,1950,1040.0,1088,2128,2,0,0.0,62500,87,59,1,0,0,0,0,11.0
7,2004,764.0,764,1626,2,2,2.0,154000,5,4,1,1,1,1,1,15.0
5,1957,816.0,816,816,1,1,1.0,129900,49,49,0,0,0,0,0,10.0
5,1976,536.0,536,1112,1,1,1.0,85000,34,34,0,0,0,0,0,11.0
7,1950,572.0,572,1111,1,1,1.0,116900,82,58,0,0,0,1,1,12.0
6,1978,855.0,855,1441,2,1,2.0,148500,31,31,1,0,0,1,0,14.0
4,1950,672.0,672,924,1,1,1.0,80000,69,60,0,0,0,0,0,10.0
5,1984,1060.0,1126,1126,1,1,2.0,152000,24,24,0,0,0,0,1,10.0
5,1954,381.0,992,992,1,1,1.0,155891,56,56,0,0,0,0,0,12.0
6,1950,768.0,752,1376,1,1,2.0,165000,87,57,0,1,0,1,1,14.0
7,2010,1218.0,1218,1218,2,2,2.0,204500,1,0,1,1,1,1,1,14.0
5,1995,728.0,888,1644,1,1,1.0,146500,65,12,0,1,0,0,0,13.0
7,1978,1271.0,1601,1601,2,2,2.0,157000,31,31,1,0,0,1,0,11.0
7,1999,1313.0,1313,2495,2,1,2.0,184000,118,9,1,0,0,1,0,14.0
6,2003,783.0,807,1509,2,3,2.0,183200,4,3,1,1,1,1,1,14.0
5,1962,1092.0,1092,1092,1,1,1.0,139000,47,47,0,0,0,0,0,10.0
7,1994,1311.0,1325,2418,2,2,3.0,341000,15,14,1,1,1,1,1,15.0
6,1971,483.0,483,987,1,1,1.0,96000,39,39,0,0,0,1,0,12.0
4,2004,1121.0,1121,1121,2,2,2.0,140000,7,6,1,0,0,0,1,11.0
6,1996,912.0,1236,1236,1,1,2.0,149700,53,14,0,0,0,1,0,11.0
5,1975,1056.0,1074,1074,1,2,2.0,153500,31,31,0,0,0,0,0,12.0
7,2003,884.0,884,1768,2,2,2.0,224900,5,5,1,1,1,1,1,16.0
7,2005,1257.0,1266,1266,2,1,2.0,176000,1,1,1,1,1,1,1,15.0
8,2000,1683.0,2129,2872,2,3,2.0,285000,15,7,1,1,1,1,1,15.0
8,2007,1485.0,1464,1464,2,1,3.0,282922,0,0,1,1,1,1,1,14.0
7,1966,924.0,1216,2157,2,3,2.0,226000,40,40,1,1,0,1,0,16.0
8,1976,966.0,1743,1743,0,3,2.0,279000,31,31,0,1,1,1,0,13.0
6,1977,1567.0,1567,1567,2,2,2.0,196000,32,32,1,1,0,1,1,12.0
7,1976,1090.0,1370,1370,2,2,2.0,152000,33,33,1,0,0,1,0,12.0
5,1969,1248.0,1338,2634,2,1,4.0,200000,40,40,1,0,0,0,0,12.0
8,2006,1570.0,1590,1590,2,3,3.0,294900,1,0,1,1,1,1,1,14.0
7,2009,1450.0,1450,1450,2,2,3.0,224243,1,0,1,1,1,1,1,14.0
6,1950,832.0,846,1338,2,1,2.0,92000,91,56,1,0,0,1,0,12.0
7,2007,728.0,728,1456,2,3,2.0,179540,0,0,1,1,1,1,1,15.0
4,1970,530.0,530,992,1,3,1.0,106500,37,37,0,0,0,0,0,11.0
10,2008,1017.0,1026,2007,2,3,3.0,310000,1,1,1,1,1,1,1,16.0
7,1998,1066.0,1108,2385,2,3,3.0,252000,9,9,1,1,1,1,1,16.0
7,1950,918.0,918,1646,2,1,1.0,164000,66,57,1,0,0,1,0,13.0
7,2007,728.0,728,1456,2,3,2.0,177594,0,0,1,1,1,1,1,16.0
5,1980,528.0,548,1040,1,3,2.0,123900,74,30,0,0,0,0,0,12.0
6,1950,1370.0,1370,2624,2,1,3.0,239000,89,57,1,0,0,1,0,12.0
5,1977,1068.0,1264,1264,1,1,2.0,169000,45,33,0,0,0,0,0,9.0
7,2004,1374.0,1557,1557,2,3,2.0,234000,3,2,1,1,1,1,1,14.0
6,1977,957.0,1287,1287,1,2,2.0,173000,32,32,0,0,0,1,0,13.0
6,1970,1004.0,1004,1004,1,3,2.0,149000,40,40,0,0,0,1,0,12.0
7,2007,1162.0,1162,1162,2,3,2.0,170000,1,1,1,1,1,1,1,15.0
7,2009,1436.0,1436,1436,2,3,2.0,225000,1,0,1,1,1,1,1,13.0
5,2003,960.0,960,960,1,3,1.0,144900,45,5,0,1,0,0,0,12.0
5,1968,1196.0,1196,1196,1,2,1.0,144000,42,42,0,0,0,0,0,10.0
8,2005,1256.0,1269,1269,2,3,2.0,192000,6,5,1,1,1,1,1,14.0
5,2005,1031.0,1031,1031,1,1,1.0,145500,57,4,0,1,1,0,0,13.0
4,1998,448.0,448,720,1,1,1.0,86900,106,8,0,0,0,0,0,12.0
6,1953,1505.0,1505,1505,1,2,2.0,149500,56,56,0,0,0,1,0,12.0
5,1950,920.0,954,954,1,1,1.0,119750,69,57,0,0,0,0,1,11.0
6,2006,750.0,750,1500,2,2,2.0,173900,1,0,1,1,0,1,1,14.0
5,1961,1050.0,1050,1050,1,1,1.0,136500,45,45,0,0,0,0,0,10.0
8,1994,2062.0,2079,2687,2,3,2.0,270000,12,12,1,1,1,1,1,15.0
6,1975,1602.0,1252,1252,1,2,2.0,235000,48,33,0,0,0,1,0,12.0
7,2000,384.0,774,1430,2,2,2.0,156000,10,9,1,0,0,1,1,13.0
5,2004,1114.0,1114,1114,2,1,2.0,153000,6,5,1,1,0,0,1,12.0
6,1999,1224.0,1224,1224,2,3,2.0,165000,10,10,1,0,0,1,1,13.0
9,2007,1122.0,1134,2504,2,3,3.0,325000,3,1,1,1,1,1,1,14.0
5,1950,728.0,760,1355,2,1,2.0,140000,66,57,1,0,0,0,0,11.0
6,1963,741.0,1497,2294,3,1,2.0,202500,44,44,1,0,0,1,0,14.0
6,1989,1461.0,1509,1509,2,2,2.0,175000,20,19,1,1,1,1,0,15.0
7,1970,756.0,961,1717,1,1,3.0,140000,91,36,0,1,0,1,0,12.0
7,1985,1265.0,1240,1240,2,1,2.0,174000,22,22,1,1,0,1,0,15.0
7,2005,856.0,1166,1166,2,3,2.0,190000,3,3,1,1,1,1,1,15.0
5,2002,504.0,764,1464,2,0,0.0,129000,99,7,1,0,1,0,0,14.0
6,1991,1592.0,1652,1652,1,2,2.0,200000,48,16,0,1,0,1,0,13.0
6,1968,896.0,1182,2142,2,3,1.0,193500,41,41,1,1,0,1,0,15.0
6,1964,1092.0,1092,1092,1,2,2.0,145000,44,44,0,0,0,1,0,13.0
7,1950,1022.0,1122,1671,2,1,2.0,218000,77,56,1,0,1,1,0,14.0
5,2002,0.0,1488,1488,1,2,2.0,135000,54,4,0,0,0,0,0,11.0
5,1952,1444.0,1624,1624,1,2,1.0,146500,54,54,0,0,0,0,0,12.0
6,2006,1362.0,1362,1362,2,2,2.0,194700,2,1,1,1,1,1,1,13.0
7,2008,1218.0,1218,1218,2,3,2.0,230348,1,0,1,1,1,1,1,14.0
6,1950,1124.0,1068,1068,1,1,1.0,109500,87,60,0,0,0,1,0,10.0
6,1979,1625.0,1625,1625,2,3,2.0,242500,27,27,1,0,0,1,0,12.0
7,1987,1064.0,1064,1767,2,2,2.0,239000,19,19,1,1,1,1,1,16.0
6,2000,1050.0,1050,1050,1,2,1.0,156000,52,6,0,1,0,1,0,13.0
4,1957,907.0,907,907,1,1,1.0,109008,51,51,0,0,0,0,0,11.0
2,1950,0.0,640,845,1,1,1.0,68104,68,57,0,0,0,0,0,11.0
8,1995,1242.0,1251,2501,2,2,3.0,290000,13,13,1,1,1,1,1,16.0
5,1966,1209.0,1209,1209,1,2,2.0,159000,44,44,0,0,0,0,1,11.0
4,1950,348.0,453,906,1,1,1.0,87000,71,58,0,0,0,0,1,10.0
8,2002,1581.0,1601,1601,2,2,2.0,272000,9,8,1,1,1,1,1,14.0
7,2006,1336.0,1336,1336,2,1,2.0,198000,1,0,1,1,1,1,1,14.0
4,1985,801.0,1095,1656,2,1,2.0,119164,68,23,1,0,0,0,0,13.0
5,1954,0.0,1124,1124,1,0,0.0,93000,52,52,0,0,0,0,0,11.0
7,2001,982.0,1008,1892,2,2,2.0,226750,8,7,1,0,1,1,1,13.0
3,1970,978.0,1014,1699,2,1,2.0,95000,109,39,1,0,0,0,0,10.0
6,1950,780.0,780,1416,1,1,1.0,139900,62,60,0,0,0,1,0,12.0
3,1966,728.0,1306,1306,1,0,0.0,76500,70,44,0,0,0,0,0,9.0
4,2005,672.0,672,672,1,1,1.0,86900,68,3,0,0,1,0,1,12.0
5,1968,1113.0,1160,1160,1,1,1.0,152500,40,40,0,1,0,0,0,12.0
4,1953,911.0,930,930,1,2,1.0,99000,55,55,0,0,0,0,0,10.0
4,1950,420.0,708,708,1,0,0.0,82500,69,59,0,0,0,0,0,11.0
6,1992,1575.0,1575,1575,2,2,2.0,179200,15,15,1,1,1,1,1,15.0
5,1966,1059.0,1059,1059,1,3,1.0,142500,40,40,0,0,0,0,0,12.0
4,1964,1005.0,1005,1005,1,1,2.0,115400,43,43,0,0,0,0,0,10.0
7,2001,1057.0,1057,1929,2,3,2.0,226000,6,6,1,1,1,1,1,16.0
7,2005,600.0,520,1200,2,2,2.0,144152,1,1,1,1,1,1,1,16.0
5,1984,833.0,833,833,1,1,2.0,149900,26,26,0,1,0,0,0,12.0
6,2006,728.0,728,1456,2,2,2.0,172785,0,0,1,0,1,1,1,14.0
5,2002,864.0,864,864,1,2,2.0,129000,57,5,0,1,0,0,0,12.0
6,1998,1362.0,1586,1586,2,1,2.0,181000,30,11,1,0,0,1,0,10.0
5,1956,1058.0,1370,1370,1,2,1.0,148000,50,50,0,0,0,0,0,13.0
6,2002,914.0,914,914,1,0,0.0,117250,4,4,0,1,0,1,1,13.0
7,2006,1373.0,1555,1555,2,3,2.0,192500,4,3,1,1,1,1,1,14.0
6,1980,716.0,716,1556,2,3,2.0,151000,28,28,1,0,0,1,0,14.0
5,1972,882.0,882,882,1,1,2.0,112500,35,35,0,0,0,0,0,10.0
5,1950,915.0,1167,1167,1,1,2.0,144000,87,57,0,0,0,0,0,8.0
6,1975,855.0,855,1456,2,1,2.0,149900,35,35,1,1,0,1,0,15.0
7,2002,831.0,831,1660,2,2,2.0,195000,7,7,1,1,1,1,1,15.0
7,1992,384.0,812,1482,2,3,2.0,163900,15,15,1,1,0,1,1,14.0
6,1984,1190.0,1522,1522,2,3,2.0,182000,23,23,1,0,0,1,1,13.0
5,1991,1582.0,1595,1595,2,1,2.0,152000,18,18,1,0,0,0,1,11.0
7,2005,891.0,891,1686,2,3,2.0,184000,1,1,1,1,1,1,1,16.0
7,1998,1344.0,1344,1344,2,3,4.0,206300,11,10,1,0,0,1,1,13.0
5,1970,1652.0,1652,1652,2,1,3.0,146500,36,36,1,0,0,0,0,10.0
4,1956,832.0,832,1337,1,1,1.0,108000,54,54,0,0,0,0,0,11.0
7,1992,570.0,1222,1920,3,2,2.0,170000,38,14,1,1,0,1,0,14.0
6,2004,848.0,848,848,1,2,2.0,145000,4,4,0,1,1,1,1,14.0
7,1975,1057.0,1055,1055,2,2,2.0,123000,34,34,1,0,0,1,0,12.0
6,1997,1291.0,1291,1291,1,1,2.0,173000,12,11,0,1,0,1,1,12.0
6,2003,624.0,720,720,1,1,2.0,105900,82,7,0,0,0,1,0,12.0
4,1973,462.0,526,988,1,1,1.0,91000,36,36,0,0,0,0,0,11.0
5,2005,1067.0,986,1523,2,1,1.0,158000,60,4,1,0,0,0,0,12.0
7,2004,864.0,864,1728,2,2,2.0,190000,5,5,1,1,1,1,1,15.0
8,1995,1230.0,1239,1239,1,3,2.0,217500,13,13,0,1,1,1,1,13.0
5,1958,1151.0,1151,1955,2,3,1.0,165500,50,50,1,0,0,0,0,13.0
7,1950,704.0,860,1564,1,1,1.0,174500,68,59,0,0,0,1,0,13.0
4,1954,416.0,1204,1204,1,1,1.0,100000,54,54,0,0,0,0,0,13.0
6,1958,1329.0,1329,1329,1,1,1.0,172000,52,52,0,1,0,1,0,12.0
5,1975,864.0,879,879,1,1,2.0,120000,32,32,0,0,0,0,0,11.0
4,1950,721.0,841,841,1,1,1.0,82000,59,59,0,0,0,0,0,11.0
6,1950,784.0,900,1312,1,1,2.0,127000,59,56,0,0,0,1,0,13.0
6,1950,735.0,1134,2058,1,1,2.0,129500,91,58,0,0,0,1,0,11.0
8,1984,1220.0,1360,1360,1,2,2.0,187500,25,25,0,1,1,1,0,13.0
8,2003,1778.0,1786,1786,2,2,3.0,300000,6,5,1,1,1,1,1,13.0
6,1971,825.0,1097,1993,2,2,2.0,190000,35,35,1,0,0,1,0,13.0
4,1950,951.0,986,1362,2,1,1.0,96000,87,57,1,0,0,0,0,11.0
7,2007,1092.0,1112,1550,2,3,2.0,241000,3,2,1,1,1,1,1,15.0
5,1962,1140.0,1696,1696,1,2,1.0,143900,45,45,0,0,0,0,0,9.0
4,1970,546.0,546,1092,1,1,1.0,87550,36,36,0,0,0,0,0,11.0
9,2005,1752.0,1752,1752,2,2,2.0,319900,5,5,1,1,1,1,1,15.0
9,2007,1800.0,1800,1800,2,3,2.0,239000,2,2,1,1,1,1,1,14.0
7,1994,1080.0,1108,2197,2,3,3.0,287500,15,14,1,1,1,1,1,15.0
5,1950,720.0,854,1382,1,1,2.0,128500,66,57,0,0,0,0,0,10.0
7,2004,847.0,847,1733,2,3,2.0,185088,6,6,1,1,1,1,1,15.0
7,2008,1402.0,1402,1402,2,2,2.0,229800,1,1,1,1,1,1,1,15.0
5,1984,864.0,887,887,1,2,1.0,124500,23,23,0,0,0,0,0,11.0
5,1968,1051.0,1051,1051,1,2,2.0,142000,38,38,0,0,0,0,0,11.0
6,1950,755.0,755,1510,1,1,1.0,149000,86,56,0,0,0,1,1,13.0
5,1973,1656.0,1656,1656,2,1,2.0,135000,35,35,1,0,0,0,0,10.0
6,1976,1078.0,958,958,2,2,2.0,128000,31,31,1,0,0,1,0,11.0
5,1968,1040.0,1040,1040,1,3,2.0,145000,39,39,0,0,0,0,0,11.0
5,2003,661.0,661,1250,2,1,2.0,139000,97,4,1,0,0,0,1,13.0
6,2003,585.0,1140,1868,3,3,2.0,178000,23,4,1,0,0,1,0,14.0
